reviewId,content,score
1d18d287-afad-426d-a18f-87754812ae09,Fun addicting game,5
8f72cdc3-729e-4b81-9a6b-721ccbb338be,Why candy Crush is not update ??,1
d61e0968-6501-4f56-af77-44782786e523,Fun and relaxing and,5
c46a7a9c-9540-45ab-aaa1-b816210fe81e,Love playing all day,5
0dd8e620-b1b0-4525-adef-3a5d17073177,Smoother than I remember,5
182044d7-ecfa-4898-9039-01803d58da9d,It is fun,5
1f53e04a-d18c-4b47-a253-f5322cde531f,Love it 👍🏾👍🏾👍🏾👍🏾,5
70592300-4ad5-44fd-85d1-333e3fa76f79,This game is really fun to play and addicting. Love this game,5
12cc1b5c-ba6b-427d-9c77-b38e9a3b1598,Good game I love it 🥀LOVELY 🥀,5
c4ec4ed5-e60a-4aff-800a-4e9aa42aea4c,Excellent fun,5
2cad453c-e143-4baf-913d-1bee524f7da5,Fun game,5
a9ab8d56-2bf6-4c30-af53-1022179dcea9,"Perfect game5star totally enjoy it and love playing, amazing. 100% fantastic",5
8f2cbad0-eb55-4d20-9ee8-3b7da27286d4,I want an gold coin please,4
78dffdcd-c182-4601-a110-223314e696f4,Fun game,5
25dd57d1-ce3b-4c4f-b146-bbfb13e7a845,I'm full enjoy this game,5
150ea9cf-93d0-415d-b4e5-68c9fc9214e7,AWESOME GAME and time consuming,5
e8e30055-4a40-4a01-a330-e34d5f9e808f,Try it you'll like it,5
0359b21b-d59b-46ea-adb5-3c3ce0e175e6,Good,5
3d348592-abd3-448b-b1b6-c79db1c5fad0,Great fun,5
f4aac915-97a8-4c03-bd33-46aecef6c029,Very good game,5
d6a92178-d341-4d6e-a98a-815445e0cebd,"Never make even a small cash purchase...,they will not give you ANY MORE freebies. They just want you to spend money on more purchases.",5
087fee55-dc5f-491f-bc45-e425a53d76e6,Relaxing,5
f265e365-0a2a-4cbc-bd31-774b57f6eb23,Fun,4
a43e5e17-d77f-443f-a941-d490ebcaf4d1,Very good 👍🏼👍🏼👍🏼,5
2ad045cd-3ed9-4928-baea-91766ec95ccb,CHALLENGE ART,5
48e9d2c8-41dd-42aa-b8e2-f67ce1815391,Doesn't let you watch advertisement from game to game doesn't allow enough chances to earn boosters or gold bars still doesn't allow chances for free moves,5
207716fc-51d0-45fb-9311-c6692e25805c,V Good,4
a965a505-a18e-45d5-810e-53b588f9f43d,Good 👍,5
94bef20a-2c90-45d1-be27-45b5ffb7ef38,Candycrushsaga,1
db422e2a-3957-4285-95e0-13b67d1b75f5,Hope everyone remove this game so bad terrible level 15685 has 25 move to pass nightmare level🐃🐃🐃🐃🐃🐃🐃🐃🐃🐃🐃,1
463a1ca8-4279-48c8-8301-4c6e89db0b22,Love it,5
4b4f1e82-597e-44a4-afa8-a885b62d1b26,Having Fun!,5
c7c19c36-f789-4e84-b225-b1c81ebe83a2,Stress reliever,5
4c1b5fb8-c630-46d4-ade0-0279415ce987,Thrilling,5
fd20e9df-7480-40be-8cfd-2e801b5d8e36,Nice,5
00f2ce69-6b22-4031-b84c-292446715e3a,Best games ever!!!!!!!,5
