reviewId,content,score
ad52a800-919c-40fd-ab2f-2b60da813e63,Ok,5
d3304d9c-4b12-40ea-8104-808e101b4882,This is very helpful for me and I can do it tomorrow.,5
51ae3c96-d206-4523-8eb6-a0695ad16edb,6ry hay hay Boka Choda,5
164aa2fa-38b1-4bb3-a448-c4d8ffb105ac,Good apps,5
fca98a28-7134-4737-a75d-edb723399690,Much good 😊😊😊,4
edb2b4a1-566a-44eb-a489-b8e26970ce99,good,3
5a6f31ed-0170-481b-894e-7aaa885c7f5f,MarryJaneDaleR.Velasco,5
3d4691e0-5698-4891-a628-56db98c2a4e3,Superb 🤍,5
9547c164-932b-4376-b0ef-d7aa5a172fb2,Gungun,5
21fe728a-a894-4507-99ad-053fa5f4968b,I love this app because this app has a good editing filter 👌❤️🤪❤️🥰🥰😍😍😍😍😍😍😍😍🥰😍💯😍😍😍😍😍😍😍💯💯😍😍🇨🇦👋🤝🤝🤝🤝💖🥺🇨🇦🇨🇦🇨🇦🇨🇦🇨🇦🇨🇦🇨🇦🇨🇦👋😍😍😍❤️❤️😍💯💯💯💯💯👿💯🤝💯🤝💯🤝💯🤝💯👋💯🤝💯👋💯👋💯👋💯👋💯👋💯👋💯👋💯👋💯👋💯💖💯💯💖💯💯💖💯💖💯💖💖💯💖💯💯💖💯💖💯💖💖💯💖💯💖💯💖💯💖❤️❤️💖❤️💖❤️💖❤️💖❤️💖❤️💖❤️💖❤️👋😍👋😍💖😍💖😍💖😍💖😍😍😍👣👣😍💖😍💖😍💖😍💖😍💖😍💖😍💖😍💖😍😍💖💖😍💖😍💖😍💖😍💖😍💖😍💖😍💖😍💖😍😍💖😍💖😍💖😍💖😍💖😍💖😍💖😍💖😍💖😍💖😍💖😍💖,5
2b260fe6-50ac-44f8-b500-94e1bcadc8fd,Very nice 🙂,5
5e323992-f215-4aca-9c39-28a95bcb5f96,Nice app,5
c4536c4c-4f3d-4910-95f2-080e5faf6b6b,Nice apk,5
dc92b079-4529-4760-aebd-ad5e49cbc1bb,ugly app 🤬🤬,1
d59605f3-2db0-4a44-8645-ac518c4ec2a4,Love you too baby girl and I will Love you too baby girl and I,5
aa84d3f4-0859-4e83-b406-73cedb949f33,rate app,5
ab042413-c9b2-46f6-a610-7ec5a48b0950,Nice 🤘👍,5
f878d939-1608-48ce-897d-dfc38ba50c41,This app is very nice,5
b90ea4ab-f130-4055-a28c-f75ae5dbb83c,Very nice 5 stars,5
9557be7d-63c2-41a0-b8a7-9cefce6f42c5,All fulters not working,3
12abfc8f-6a15-481f-b94e-1b6590fde8c8,I love it u cam make vid and chat and call can video chat people and watch people videos and text I LOVE IT,5
090b5873-d454-41a7-90a4-b9f412229dbe,Snapchat fiqiir,5
7027f68f-530d-489a-9433-cd4e2d5ba835,love it 😊 👌😎🧡😘🥰💕🍓 10/10,5
0380a5b0-2095-4058-9865-f7f9def95382,This app is best app,5
e9c771dd-9e29-45a0-ae2e-0c515c187ab6,This a very good snapping app,5
a57b05ed-e8f9-4ccc-9923-dbc61c56c2a4,SO GOOD!! 😍,5
c4cd211e-20b9-4248-9225-3451550b8e7e,Good too like most things,5
cf6d831a-1a65-4659-b93b-12128221c968,",👩‍❤️‍👩💝",5
af47ed30-cd4a-48cc-a124-d739d6c01eec,I love this App,5
c6432b4d-81d8-4bbb-8eed-a1dd5fa1d8f7,Good,5
5572302d-9b21-4d7f-9525-f5034d16cd6e,Please 🙏🙏🙏🙏. My snap chat app is lock please you are deleted my app and I am again installed app,5
857a304e-12d2-4379-ae9a-13693cb74fc7,"The app is great,but could use a bit more upgrades",5
a57fc604-3c2e-45fc-bcae-62fe80faf933,Verry good for friends and family,5
7a4e4e20-c4b9-47b3-b53f-e59d689e399b,amazing filters,5
7758feba-8bb1-43e4-856e-4a2bf95d6d4e,I love you snap chat,5
bbddfbfa-b744-4742-aa6e-0aab62a7b702,Snapchat filter on TikTok with the boys today and tomorrow and then I'll be back in a few minutes,5
39440678-77d4-4303-9a96-c16892ad68ab,Beautiful,5
2cfde411-5a1f-49f7-9ae9-7b991af65115,Dhirendra Gupta,5
b1a67c31-a09f-41ba-b35a-de7abe82dd23,To make sure to cometa,5
7cd2938f-8031-4605-90bd-f703c510a594,Good,5
bfa4ca80-5d4f-4634-898c-834ed9406311,MustaphaUmar,5
cea5e399-907f-4ad0-b139-eba0d8e07186,Nice,5
dd9490e1-2ec9-4e21-b3a8-ccf09d6a9aed,I love is so cool 😎,5
4bf5e596-610a-4c19-a809-37ff0306558a,Cool app ever,5
ed426262-76b1-4efb-bd25-ca9caea51cca,Nice,5
a5864889-8fe0-46db-bdac-b727a128367a,so funny,5
44401233-ccc1-40b6-8a3d-db378471d632,Ankeshrajpoot,5
ac4de733-700f-4ee6-bec8-4998ebc56c38,I like this app I am impressed ★★★★★,5
dcceb592-a91d-4ad2-850a-13dd3b16bb80,নিদ,5
d019cb25-609d-44ff-acb8-52d6cd2dd97c,He is very good app,5
0aebfc30-5240-4519-84a3-2585a3649931,I described this camera beacause she is beautiful,5
c9c219ad-9a89-41c6-b18b-dedc6988f8b9,Yooooooooooooi,5
b4f156b4-898b-4817-b439-5c260b48fbe7,Love ittty,5
19bf929e-804a-480b-a33c-d864e6c42ddf,My name raam i want to dowlined snapchat help me my prather or sister ❤️,5
a999b1f5-4721-4b92-9b06-576f9451f7c4,Good,5
ecbaabf0-9ac7-463c-a767-feedafde663e,Wow what a app,5
cab92eef-7a67-4044-9012-6cabf05ed053,Your day,5
2b2435a6-84e1-41c5-a34d-36fc16703ca6,Very nice app,5
4166ff96-232b-4a19-a3c6-373fcd53ef8c,Westtdgye,5
03a3e55c-701e-447a-9c02-a3af41e69017,Fudi,5
20b69180-a67e-4201-9569-bcb511a529df,Whatappbunsine,5
5629002e-ef9b-454a-8f1d-26c84eeef7a9,So great,5
5ab83324-87c0-4846-a937-de3fd79ee64c,عالی,5
32e11454-86ad-4a4d-ba6d-64471badcc03,Zur,5
96c97286-2f6e-4f01-88a7-2332b720f0e0,It's cool but you have to fix bug and update every week or 3.4 day may be this is solution for bug s and all the issues. . Thank you. .,4
9c17925d-ce9c-487b-b2d2-d952438bbd35,Thanks for your,5
291f8d1e-ff1d-4f56-905b-c143d4b1efae,"That app is good for everything like chatting ,make videos ,we also see their reels . it is amazing i love it!!",5
ba86b9e4-b5ec-4cce-ba93-9cf9247c6992,Bad,5
478173cd-77f0-4723-8c93-6a69e8b805a7,Good 😊,5
4e13b29e-67a3-4eb9-adb5-5c71ac1f0709,good app,5
f795a54b-ccc2-4304-bfae-ea4ef88198ee,Itt.i,5
5c4194a2-d191-4796-810c-40a18e05a180,Even if you are ugly this app will make you beautiful,5
680c44dd-b162-421c-83ea-d0dc57433c07,😈😈😈😈😈😈😈😈😈😈,5
a3416de9-da04-40b2-8693-e82a9fc5880f,It is so so good and interesting,5
c5c61cfc-dd6c-48bb-9a1e-f90838e7b712,Edit photo,5
2925f5a2-ce38-4039-a1c3-548c98d8431d,Mua më pëlqen shume ky program por nuk me hapet dhe sështëi përshtatshëm për telefonin tim,5
f40ac144-6b91-466b-ad32-fbd27c2382a2,very bad instgram is better,1
252c211e-8441-436a-a660-0fd60f4744bf,Excellent,5
ec58c131-4a95-4fbc-b4cd-6de848f1d717,Im satisfied with app its have effect,5
fc50ebbc-3825-4283-b03c-59d6eb224046,Amermohmmad,5
af5cdbc9-9ab8-46cf-95c5-eef842341033,Atlegangmokwana,5
95841ef7-92f4-4f55-a894-c5f38e59399b,best,5
1d137a30-4974-4c76-a5d7-c1c7c2e3d2c7,This app is very useful . And this app is interesting for all user. So this app is useful,5
5c960102-8e7f-4482-8fe2-11424b89f6f1,Is really good private bhi h,5
783f3971-b21e-49f4-aae8-100281d45fac,Good,5
0c6b3633-3b97-49cb-9bf5-d94021a691cf,This is the best app loved it 😍,5
ff5f63b5-d4ab-4ca5-a9b9-65bec72e5bae,😊😊😊,5
a8d1be1e-6a90-4f50-a35d-d4d4eda2e2ae,Akrar,5
8b6d85b9-8662-4f2a-8e38-c4d4a2b07a27,Snapchat Rate this a pp,5
26c05da6-104f-4167-8d28-b2aab92151ec,Esta chido,5
c0fed604-a91c-428c-8e6b-0ebd73e7e092,Perfect filters but I can't sign in right now:(,5
9c21b400-1fbd-4ff3-acb9-f0d3d378e6ca,"I love this app so much,,,",5
f11c9333-1e4d-4fe5-8456-1254ffae4caf,It an exceptional app,5
3e458e3e-1a69-4728-8666-376f7b3f0052,I like the app,5
6b7bc986-09a1-4a55-80da-b913c3f2d83a,Gud,5
b9fed192-5028-492b-a368-4c74825371ed,I love this app so much,5
8bf8572c-ce08-44ad-8889-bde7116eec99,I like using this app,5
b2197550-dda6-47a3-9fcf-f1709d238de4,Nice app good app,5
236beeec-d210-4b0d-97fc-dd3cf00f8e3d,It is funny and adorable as well,5
2771b6f8-c242-4201-875b-bef30b90dee2,very nice,5
d0da4fd6-51db-47a6-ad6a-b480f9178a93,good,5
d63e2f52-1fd7-4ed8-9e2e-8efe57e3bb5d,Gusto ko ma download pero bawal,5
06a20035-e5b6-4e57-8e2e-0b94ff215f6a,I love it!!!!,5
939435bf-14bb-4940-811a-d26c55eabd37,Nice,5
20ab5443-2f76-498d-9ba0-f33dcee31adf,Kartikey,5
6451da5d-652e-4047-9cb9-6fb36d13d864,Great,5
dfa34b3b-3f92-4ea0-a44e-ffd7f24f12dc,Excellent,5
93524b6a-1235-4519-b8b2-11a3eeddc332,Yce,5
ee91553e-ae58-41f2-b64d-03f74a78de50,Good experience for creating this app,5
822ab4c9-10e4-4905-a160-644dc570c1f0,Best app,5
95807e18-ec07-4dca-891e-9c4dd5df1ea0,خوب,5
e99fbbea-b5b4-4cfc-896f-aaccbcb53f2e,Very interesting,5
09a77138-28e4-4c5a-aa76-f33fe0568469,fancy,5
f1d83a13-387c-4ea2-a946-ff446f04e80a,Good work snapchat Wow nice osm very good work kya he khe itni achi chij hamko App logo ne Di h Hu Hu love you too baby girl I love you too baby girl I love you too baby girl I love you too baby girl I love you too baby girl I love you just want you to come over here and I'm not sure if you want to be a good day at work and I don't try to get a chance to get a chance to get a chance to get a chance to get a chance to get a chance to get a chance to get a chance you can do it for y on Saturday NB,5
edadfa17-8243-4d03-9519-611d1d51512c,A great app to use to make friends and talk to people,5
b82465a6-4b69-41b4-977f-437851e5d01a,This app having good expernice,5
1fc3d439-d6f7-4fe2-bee7-cc56291dcede,It is the best app every,5
cf388d5c-7d4b-467f-9d5f-09be91a1bf94,Appaf,5
97f41c39-4ca2-4490-90b6-95a08b44225e,اكتر من رئع,5
ea08dd77-c27d-43e7-a425-e7f9fac86c83,Good Loved it,5
a0474d74-a0db-466e-a9d1-0abddb0b3c78,Thanks alot,5
0815e3fe-1367-4e8f-9bb2-3d00343678cb,Superb,5
e33b1b92-7baf-4d82-a081-4200ba818fa2,She was 6dollars 3,5
bf1af0f3-dbd3-4c2b-b090-53402901af39,This app is so good and so useful to use.....Thank you so much for create such amazing app.....You can do more updates 😊,5
50ce75d2-c5ce-4279-b40b-f18b62555cd3,TISH APP IS GOOD,5
eef87924-c09f-4d8d-8a0e-625c9a5082b9,This is a very great app I recommend it for 11-adult,5
3852c094-6ab4-4218-a552-4482e46af51b,I love this app🤗,5
54ce4f7a-aa68-45f8-abf0-333a2bea0987,Outstanding,5
485d3073-9e5a-4368-bd1c-8e33e78c4c26,Thank,5
996a3dd2-a7e0-49a9-b67b-c4146db3963b,Sahil Khan ककी इक्क झूज,5
ce4ca515-3980-48d1-8528-0c8efa21be62,خوب,5
5b95462b-de2c-438a-9b8c-1228e57d1c83,Nice,5
17808d56-3a31-4b4f-9cf8-59381033d632,it's just good 👍,5
70853b1e-f6d6-46c2-83c9-cebe1702c11b,so nice,5
cefa11a5-4007-451f-aefb-5d5934dc08c7,I just like the because u can chat with it and at the same time snap with different fillters l really liked the app so much,5
6c95fa08-9085-4ca3-8536-47ba7a020970,লিমা,5
29caf171-040f-4fc8-938b-3f6a06972756,Xolani,5
e9f8b537-cebc-4f06-acf9-1245bda0bb32,Cool,5
eb8f2794-de9e-4e5c-9ec2-b8a7e5e0aeb6,Like having mine,5
de78f8a9-a44f-4ca8-91a8-e7ba585b7ee4,It's perfect,5
336d6bd2-eae0-47dc-b8d7-b84a322d03b8,O Fremo1234😊😊😊😊,5
4de68e5a-38de-4965-8ef9-467948dc1150,Snaps,5
ac3babfb-7ad6-496e-bf5c-f131a8863559,It's not downloading,5
cb57856a-5408-4add-84e5-d96c401a2835,is okay,5
feceb067-046d-4c9a-b7ff-d9481b63caf7,Wasim. Khan,5
7063aac0-b86f-4daf-8771-5d40410bcef1,Nice app honestly,5
c471e8b9-0b42-4ccd-b4a8-0fc32dd35303,Perfect mwah😘🥰,5
3ce60cdd-2453-4812-915b-5c6b9f991198,Very nice,5
7b1d2266-697a-48c5-9766-ec1c30d8f366,It's a really nice app it has been really helpful it has nice filters,5
efa09c73-2701-4fcf-8218-57ce059f1a32,this app is really cool! to take pics and send snaps everyone just an nice idea to say something to an person in the form of pic(snaps) don't be addicted...,5
3a8fc83b-3571-4c66-9f01-2bcb0447b760,Raj mukhiya,5
27e1b16c-a5b1-416a-852c-710e3e88c1bc,Sharp pictures with sharp template,5
341cd2aa-628f-4b32-b723-bb031b67a2ab,Nice,5
e13dbdd9-384b-4e4e-ab5a-83ef9b1a4adf,So interesting,5
e4722d80-6c75-4ddb-b9d5-57114d67409f,Because I like this app,5
ee3cd6fb-e0bd-4e2c-98e9-ca6772e548a1,Download,5
6fa34867-089a-4ac7-a991-299d872fce53,I love this app because it has a lot of funny things. And you can add people to chat with,5
fe9ee699-f200-4816-9122-7d20214eac79,Cool,5
f2f72cd0-0eb3-48ca-98d7-3d5ef6870bd2,"It's really good to me, thanks alot",5
a6fca95f-0faf-4aa9-8aca-116bddf743a5,Amazing,5
53b2e0fb-11d9-4acf-970e-09a53491cb12,ntandomboqo,5
6f3986a4-7eef-4d00-83b4-415cb24c81cd,I love it,5
570825d5-7704-4f8e-9e31-a644501e71d8,Beautiful 💕💕,5
bf24ed02-838f-4f24-b772-44605b42451a,Very good,5
c7aeae75-4cc5-4227-91dd-43199506cd8a,Good Snapchat,5
3fbf77d1-2ae2-45ab-8b79-6d443b61aafa,AFOKE Emmanuel Sanders,5
577f6b4b-2784-4c2e-8c8f-09d147208871,Ijazali it:)7'(f:!-/@\_(:))),5
1edf09fd-c2fa-45e6-8d74-9af634a0fd69,I'm hlp,5
09d30afe-d469-45fc-8e24-7680f13ff260,Very nice aap,5
1ee8f748-1a8d-4fae-a689-e98a7fd86815,good,5
7d0f14b1-88f6-4e57-86b4-d04710f73879,Nice,5
c0e9e7d0-af0c-4794-8d8d-d78f6d9f907c,Vip,5
68410f7a-cc2f-452b-a5dc-b9b3d907c86c,Good,5
1f441c11-276a-4579-ac1e-5a0b929caeea,I love this app🤩🤞,5
3789a1d9-99b0-4712-bc09-a9e4c80ae548,Rifat❤❤❤❤,5
0333bf79-1d7f-49b8-8468-6aaf5e2966a0,Maphiya Satyam,5
0edb2531-20bc-455a-afb0-dfafdfc85126,Ais bito,5
c553190e-94f3-4111-a3df-1bdc96c211c0,ankitha Ankitha,5
38ae42ff-5923-4ead-9530-6c2008fef099,This is app more effects for me. I'm very thanks it app..,5
bf2d82e9-933b-492a-9866-b9d45dac2112,Best app,5
8a752ff5-05cd-48b0-be98-c313b4a9dce9,Ghost,5
c3d602cc-58df-4031-b7f8-6cb3f694814a,Fridsy. Yusus,5
79728c54-445f-4724-b9f8-e6cf42d693d2,"Its too good for chating,calling .....",5
a78a9a2b-ecf1-484c-b804-f930603d05f1,So fun My baby sister loves this Oh my love watching a funny shorts,5
