reviewId,content,score
e91ad223-f234-4530-9be7-78688b6b9368,couldn't imagine life without this app,5
1df9fae9-3b82-4145-80ea-3aa438772621,Exceptional,5
a1b0cda6-350f-4db9-ab74-b5c4d1be78fd,"Worst app right now in Music industry. It was better before some days.. but now they make it worst as hell. Everything is restricted in this app you can't even play your favourite song or particular part and can't search any song, for using basic feature they ask for premium.Will recommend other any apps (yes you can download even 1 star rating music apps, as Spotify is now not even deserve 1 star. People should stop using this useless only ads playing and money looting app. shame on you Spotify",1
53b3207c-188a-4719-9f52-b4b0525323de,Good 👍,5
acc28c83-b080-448a-8aac-095ff6d23bb6,Worst music app.i guess designed by kids .worst app.unistalling from my samsung,1
1249ec55-d82a-437f-8950-19efd7528c69,Y'all rock,5
42c68c3e-0519-49f8-a75b-d57eda99889e,"So you're upping the price to 16.99$ a month for a duo account, but when I play music it skips like a CD? gtfoh...going back to Amazon music..",1
f1409306-8ce5-4292-95ed-3067771ce433,It ain't letting me pick my songs that I wanna listen to it just shuffles through random songs n theres a lot of adds,2
5bb92482-c37d-412a-9aef-77c35eb6ca4b,Lol fair warning may appear to read the mind⚕️🛂 🧠🎚️🎛️🔬🐭🪩🤣,4
7b65e727-b9ba-401c-81b2-2468ca23b0c9,"This app is barely usable. I choose a song to listen to and almost every time, I have to sit through 4 ads to listen to a song that I didn't even click on. If I'm lucky, it'll allow me to listen to something off of the same playlist or by the same artist as the song I clicked on. If I'm not, it'll play a random song that it's decided that I should like, even if I've already said to never play it. I'd like an app that plays music with maybe an ad or two, not ads with one song I might like.",1
27e62b4c-b8cd-4d93-8868-b785bef7bdd1,"App is getting worse - too many clicks to add music to library and playlists. Podcast experience is awful. It takes three clicks to remove downloads once the episode is done, and the queue is not intuitive.",3
325dae9a-2e1c-43fa-9003-e2e0857a2739,It is helpful for traveling but it wants premium and I can't buy it because it is not on my Bizet,5
5ade6cfa-5dfa-4652-84cd-376f91bde409,Spotify plss give me a chance bc l want the lyrics plss😭🙏,1
1f547929-9b59-4b49-8347-152d50bd1bab,Good,5
8c558f6f-d0de-4786-9a68-f04d38e8f42c,"It would be nice if you told people upfront that there was a limit on the amount they could listen to. For example, I subscribed to premium a couple days ago so I could listen to one of your audio books, I'm a couple chapters from the end and now apparently I have to wait a month to finish it? or pay £10, might as well buy the book in print. They literally have a different coloured button for ""courses"" which does indicate an extra cost. Having the tab for audiobooks the same as music and podcast",1
adebb0fd-8eb1-40e4-aa03-d07a250abab1,મછો,1
f8064d1f-b570-46b0-b61c-85788ee29fde,The app is expensive and the shuffle never works. It always plays the same songs.,1
81011bf8-8467-465b-9662-49c133c808be,Very good except a few bugs,5
5db5f405-5113-47aa-b309-421f99280395,"The queue feature is messed up. I can't play song from the playlist in a single queue. Randomly playing songs, I'm not sure based on what criteria..",1
2cb5ece7-7e0d-406d-9157-dfb2c3c2a9c3,Nice,5
e3e8e63a-b1cc-4e2c-9ee4-4ae81cf3848a,Love it,5
e8c366d2-6aa3-44c8-8b25-8746fef4b54b,It is nice but lyrics aren't visible now this problem,2
e2341b4c-da6b-4273-9390-636f91fe3997,I love Spotify 💞😍 Highly recommended,5
bcfe5a34-2dc2-4a80-bd17-73809a9730df,"All music are good for each need of a person depending on his/her likes, whether jazz, live band, or for sleeping purposes.",5
ca3073f6-0615-410f-9e70-4347491a9037,why problem of Ads problm,1
2ffe3229-e413-4625-97cc-b9fb7860cc10,Good and entertaining,5
08e12483-841a-4449-b4b5-da384476f4f2,Nice music app is good,5
23d10a4e-9bfd-408b-961d-67c578896e61,Excellent,5
86edb2c3-2dce-4ce7-ac4d-d596c5ac2f86,Nice,4
9ea98c50-a42d-459c-953f-bd0533829421,"I don't know what's going on with the volume. It doesn't let me turn the volume up or down while using the app, I already checked and my phone works perfectly fine, it's just when I'm in the app so I have to give Alexa the command for her to turn the volumen up or down it's just a pain.",2
7e6729b3-996d-496d-9671-6c1f41b575e4,Was a great app till they raised prices. Also I canceled my premium cause despite PAYING for premium you only get 15 hours A MONTH to listen to the audio books. As a premium payer there shouldn't be ANY limits to what I choose to listen to! It was fun Spotify but I am gone.,1
da827eb4-0ab2-45ff-927b-c862aba4ac76,I love it,5
80d79c34-15ce-4ebc-9ed4-8ff9682f7e0f,"Perfect, just perfect",3
2bec89d8-95c0-44d8-9fa6-6317bc2cacc7,Very good I love it,5
41b1ae57-a911-46d5-9435-4ed63415661b,Very nice,5
fa3e0804-c1a7-4eb8-b302-3fe3283c782f,Aside from your constant price hikes and CEO sounding like a complete doushnozzle when he opens his mouth I enjoy using the apology when it works like it's supposed to does anyone else have a song end only to see the counter still going well past the length of the song with just silence and you have to close everything out to fix it,3
1e037c94-e02d-478f-bf70-308a721a68eb,Excellent Song Selection....,5
3ae9a282-61b8-469a-9418-cd52fe9d7fd3,Def one of the best of the best music streamint apps out there but please for the love of god I NEED MORE PINS FOR PLAYLISTS AND FOLDERS🙏,5
114f7f91-045e-421a-98db-b6a82ba161ba,"Flawless playing of songs in the Premium package that can be downloaded and played even offline. Loving the feature of it playing even while checking other functions on my phone. Thank YOU, Team Spotify! You've made my 50th year of life MELODIOUS 😄🥰👌🏼",5
337dbce2-fbe9-469b-ab66-614225462b93,"I pay for premium for something that only works half the time, it is constantly shutting itself off.",2
376657ea-5117-4276-813d-762c73f2ab66,Only 4 Playlists can be pinned ? Why so stingy? Doesn't cost anything to have 10,5
b7d79f33-e720-4dc6-a9a6-9a849950cbf5,Keep going up on your that are already too high to begin with and this 5 star review can easily become a 4 or 3....,5
1ac3a77e-d81f-4afa-8b21-553c8e370333,It never updates on its own! I have to uninstall and then reinstall it. So frustrating!,1
d4df0abe-9703-4ff7-8466-383b96c5f30e,I Love It,5
afce59ce-9ddd-4263-a0ad-6d8373c02ef1,ads bug me alot but great music,4
6a707b58-d7d4-4117-aa9b-09cf59e1e22c,Adds,3
8e9c9575-0cab-433e-a23e-249d61eb29ee,Super,5
7d26d48d-0610-491e-ad28-ed54b3c37fa2,Always easy to use Spotify. I enjoy it very much!! Great times...,5
b6219732-3da0-42ca-a067-7cd1d24c42ce,Ok,5
591bb1cc-f2c3-45a8-9ae1-807e188256f7,Was excited to see audio books part of the subscription only to realize it cuts off after a certain amount of hours. Total bs no matter which subscription you pay for it's the same amount of hours. Makes no sense.,3
275a1053-29cb-4d78-b13f-ae1c10f30cfc,At this point im listening to music inbetween ads,1
25f0dd27-f35a-4945-9b66-e233afa71b6b,Good,5
aa67ba10-2191-4c9b-a9f9-a8b16570cd4d,"It's Awesome! I have looked up several songs, very old ones, and I have never not found what I am looking for!",5
4e135438-d176-40c3-b0a9-0986cdff6960,"Even though is free and random, is soo good to be true นะ 💞💯💞",5
a1af6b23-4de1-43b0-9b2b-8e4f37235b0f,"Stop recommending rap to me! Nothing in my music history correlates with rap. How is Georg Philip Telemann or Dmitri Shostakovich related to drugs and murder? Spotify plays songs that I have hidden. I hope that Spotify can use the extra money that it charges me to build a better application. Now, Spotify is incorporating television into the application! I do not want to see television shows when I open my application for music.",1
762232d3-4d4e-4187-9b8b-3a2482d553bd,"Amazing wonderFuLLy made SpirituaL LeadeR/Shamon and/or Shanom. Smexxcii Songs lawl HunTerrific Yw Spotify, from Faithbook. Lulz",5
162d9361-6994-4845-932c-7649d67b91ab,You need to work on it Spotify!!! Either way you can't make it.....,1
1ae7e77f-4184-4d1a-a2bd-3c5d93e3db1e,Very good bad... I searched one song after come other songs more irritating me..so am delete my account That's all,1
8bee601d-59dd-4837-8192-a074d62cc672,"Some tamil songs are not there example:darbar,kgf pls upload the songs more",4
29ecf77c-aedc-4314-8ecf-4e68cd4e0bf5,"The app is good for listen such a amazing, our LORD JESUS CHRIST songs",5
5b22bc55-1fef-418a-b11b-11bd7cfb1520,"Hi, so the problem is a few things. I personally love this app, but I can't seem to be able to play the songs in my library which is very sad, another problem is that I play some songs I've already seen but I can't go back and listen to them witch I'm really sad about, so there are those song shorts but I can't seem to find them so if you could move them to the home page that would me lovely 😍. Overall LOVE this app, and thank you for the music 🎶 🎵.",4
20508997-cfdc-4b53-8802-5774fc7b3781,"This app had a great selection of music. However, the constant--and I mean CONSTANT--advertisements are super annoying. I've considered switching to Amazon Music because I can't stand anymore ads. >UPDATE<: My family switched to Premium and it is SO worth it!!! No ads, unlimited skips, and the freedom to pick and play any song anytime, anywhere. I would definitely recommend the Premium experience!!!!!!!",5
455ece1c-87f6-4b1f-87b9-e994e5f82dbd,Couldn't live without it!,5
093ab389-d37a-458c-b0e7-a00fbb040923,Love it.,5
ba55eb5a-9365-4400-ae20-6c58454537b5,Not letting the music play the ads are not letting the music play,4
9ea926ad-8d2b-4550-9858-1539f56bae1a,"As a Slipknot fan, spotify is one of the best places to listen to them. This app is the best to listen to artist or band and has very good quality in hearing wise. I'd recommend this app to anyone who is looking forward to listen to music!",5
244c8647-60f5-4ad5-9846-32a7a4bf36b9,"When I switch from laptop to phone - a song on repeat would restart from point where it was playing when switched. Very irritating. Often while playing on laptop - playback controls bar on phone won't show at all. Or lag after few ""next"" presses... And musicmatch lyrics have lots of mistakes.",3
a036bb11-6252-49ea-b9b7-565dc1f4d9a7,Nice songs,5
27d707ed-0bc3-4c67-a249-c8682a6eda68,Great 👍,5
f2349f9e-b12d-45c8-9d89-2648fc9ad64a,Perfect playlists for a music lover like me,5
97d8fa6b-452c-4d82-85de-922a7da9378f,It acts up alot,4
71408e1e-5afd-484c-b1d0-04f62fdbcd9d,Fantastic application,5
3478c117-4c75-41ad-80c5-4bdfe10e2f54,Song,5
5a7d7316-aa83-4ece-9e19-82e7a3ce226c,Perfect sound,5
fbd91a24-2abc-4bdb-b310-7c7ef7a4f745,I like it,5
cd7aa744-6ac1-487b-b207-d2d3b56e0980,"Good, but the lyrics only show 5 lines then they stop",4
96701db4-598c-45d4-a370-087cd7d6519f,Very nice😍🤎🤎,5
d6c8d433-8888-417a-9125-9d09062c3bc1,Suck you have to pay even tho it says it has free music,1
22f311d8-cc95-47dc-ba13-86bbc21058a3,"Just kinda cool, thats all",5
f0c40af8-61d5-4783-a2e7-c78daa04c850,Super,5
0e1a4aa3-052f-4bbe-8acf-6aadcaceb665,I can't share to sns stories with playing music anymore.,3
964aa970-818f-43fc-9b94-81ac6d0f71db,"Nothing but advertising since the last update. Will give them a couple days to fix it, then uninstall and use something else.",1
b30ff7d3-e0fb-461c-b779-c08093d97dad,Sneaky sneaky,1
01bbc27f-9a66-42c3-a89a-5c50af526f00,"Their everything you could want and more,",5
a12b4d51-0b19-49ef-afc4-be6c7b71bd97,Have been using it for years and still enjoying it! No better app for having all my favorite songs and artists together and discovering new ones every week.,5
cdac1795-5b12-4b54-8ee4-3957817935b0,I love it....,5
c8c2b4bc-357f-4671-b633-86519d619e7c,Not so happy because of the ads can u stop those ad😡👎they are irritating me n disturbing I don't want ads I want music n music only not ads otherwise the app is fantastic.,3
f67bf926-f74d-43e0-b37e-e9347cd6222f,Unbelievable best thing since sliced bread,5
09d7a2a6-b969-4ff8-a336-9d1abffa7659,"Very good app, I can find lots of ""Edit songs from tik tok"" on here whereas on other apps you cannot! Love the layout and everything about spotify, I can even make a playlist mixed with my friends' playlist! Amazing!!!",5
6c66a8f8-d969-4b9c-99b5-1c07d94d470a,It's really nice but you have to have premium for the lyrics witch is really sad,4
e958f897-dffe-4f43-8b89-d2541f53590e,"Okay, hear me out a little bit. I originally got this app because of a YouTube ad. What they told me is that I can listen to ANY music I want, but what they didn't tell you is that you're gonna have to pay 49.99 just so you don't suffer with ads, play any song you want, and organize your playlist how ever you please. And in case you haven't noticed, many people on tiktok use this app to showcase the lyrics to a certain song. At this point, this is just greed and starvation for money. Worst app.",1
ee11797e-f02f-43d9-9ac8-d48996fe0b90,Cool,5
44ee34ec-7213-4af4-9ec5-2324a38948e6,Love this and my DJ recommendations! I've discovered so many more artists and genres.,5
34c9badf-1c48-4d50-bde8-f23da5e56173,Superb,5
ee1e3fcf-2fb2-4eaa-872f-7b57a5b9078b,It is good I just wish I could hear music without needing WiFi data or Spotify premium,4
1df55ddd-c28e-45c7-b403-ed0d0638bab2,Osm,5
a725d1d9-e1c4-4ece-a1fc-93f309aac22e,What is even going on with podcasts? Why do the two hours shorten to 9 min and skip?,1
303c6f17-f9d8-417c-8f19-c417ff822b69,This app has been used to kolkata,5
94210eb5-1a1a-4d0e-9a3a-e473245b25bd,Pretty good,5
12485519-e5d9-42be-b4ac-79c419ebc121,I hate those ads but without them its awesome so just get rid of ads please without making people pay for premium,5
bdaddee1-74ab-4697-a499-ea35a41dc5f6,Awesome,5
