reviewId,content,score
78e4daf5-eb3c-44cc-b36f-bff9917e3bcd,Cool app,5
aa05a915-816a-40fe-a726-82ffb387cb27,Keeps.on banning me even though I'm the right age I'm 17,4
88470aff-a498-4994-8e56-3c0db1c65862,my life my post my tiktok i love you tiktok foryou my video vairil video,5
d6b49c43-00a2-4bcc-ad4e-b6ddcf2ab403,It's Not Viral Vedio,5
f95a77d8-47da-4729-8075-64fe076c2cd5,I looove tik tok!! This app is wonderful! I love to erase my time on it. Even if some people shouldn't have tik tok cuz they do weird things on it. But I don't care 💅 this app is my favorite.!,5
ce8e0cdb-a4ff-4d52-be53-1896e71014f3,🤍🐸,5
75e7d011-d165-4b6b-8bd6-68c3f9151bd6,3.hy is the first of,4
bb102aaf-e203-44be-8314-1c84220fe4ab,Nice,5
9e569a51-5865-457e-974d-49ac6d2ff0d7,ok,5
73fd26d2-0f26-4266-a945-2ec550a9816e,It's really good 😊,5
70765219-1ec5-4df4-a1a1-6dcd48d5367d,I don't open TikTok for months its lagging,2
ac6f8ba0-c4b0-4b12-a9be-678fa0b3f992,লায়িক বিও বারিয়ে দেন,1
c1cfea1a-ceaf-4f3c-890a-082f68540528,I have a problem item of sending pictures is hidden and I cant send any pictures for my friends,1
5302a466-3b5b-484a-9111-aebacfb79c8a,Soo interested and Amazing,5
a42ba731-3634-40e6-898b-49d769cacf7c,Let me try,5
103d1b65-2ca5-4d92-86fc-c849eaa739e4,"TIKTOK take your community guidelines and shove them up ur arrrrsssseeeee. Can't say anything now. Used to be good now all the constant lives and adds that show up on the for you page really worsen the experience, wish there was a way to modify this. Also, comments are way too restrictive, meaning you can't comment anything without it 'violating' community guidelines.",1
eafb2a84-85fe-4b1b-9b31-b8184d55a28c,Good 😊😊😊😊😊👍,5
4054e003-a479-43ef-83f7-27d524b07253,"very very BAD app... tried to update it and its mb kept increasing, what kind of app is this?????",1
ada83570-eb7c-4692-ae58-247d13b3cd53,Not 5 star,3
51b148aa-3a08-4255-b419-a31f0c40ff6a,hi tiktok I am a new user of the tiktok system so please help me with official,5
9390a3aa-9b34-4c74-b173-8b0c1a5d1eac,I like this app,5
4b46b17b-4359-4288-9038-dce978356e11,Good app,5
2a7c89f0-0832-46bd-8f06-385218f18dbc,10 years ago are using this app It is fantastic,5
3d203bce-b35d-4491-a38a-27b341dc5a79,For you,5
62c763ad-46cf-4c53-8ff8-2c72de2d3ca2,Mo. Ha.mdd.,5
da37220d-3f46-478a-89ab-7f04141b17b6,Haha I'm 11 tiktok!,1
520fb26e-0f44-42c4-a373-14e6113896ff,Good,5
345fd700-bb6e-4868-a976-c03c72e4dea1,fantastic,5
f5db3263-7a6f-4903-b49c-701fd7592e19,Love the things I find !,5
c3f0185a-ce9b-466f-8dd6-7818b88a4a4d,Nice,5
d1235752-2765-4d43-b319-87a35ee745b2,"Hhhhjhhhhhhhhhggggyh Bobby Buenas tardes de los que me ha dicho nada de nada, no se que es lo de Washington hgdghg",5
07fbf782-467f-4d0b-b87a-433feee0249b,"I don't like it, it's not letting me watch my tiktok videos my kid sends me off of messenger",1
c755b607-3f3b-408d-9512-57d7810e7dc7,Waseem,5
5673195f-cf4e-4911-9b1f-0ff58d09b5bd,"Notifications are a pain, turned off all notifications and now I'm getting more than I got when I had them on.",1
6b83dc68-7cb0-4dd9-9b53-14446c0fa341,Great condition,5
0bb66358-6c7f-4980-ac1e-ac5d34601619,MB support,5
